,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
54,block,4,5,True,True,-0.5827715174143584,4.0,two-sided,0.5913196318668539,1.0,bonf,0.456,-0.12367928717858598
55,block,4,6,True,True,0.4908802385940219,4.0,two-sided,0.6492235752516169,1.0,bonf,0.438,0.17080908575472936
56,block,4,7,True,True,0.20628424925175845,4.0,two-sided,0.8466432357935877,1.0,bonf,0.405,0.07893403704862427
57,block,4,8,True,True,-0.15617376188860632,4.0,two-sided,0.8834610671467293,1.0,bonf,0.401,-0.042578472845641986
58,block,4,9,True,True,-4.673904033440633e-16,4.0,two-sided,0.9999999999999997,1.0,bonf,0.397,-5.388232896212454e-16
59,block,4,10,True,True,2.6768443890848186,4.0,two-sided,0.055410043917741514,1.0,bonf,2.063,0.41446015637707445
60,block,4,11,True,True,2.2563042992710645,4.0,two-sided,0.08703559762715829,1.0,bonf,1.5,0.5518800836936066
61,block,4,12,True,True,1.5809563749081201,4.0,two-sided,0.18904431516468498,1.0,bonf,0.882,0.6190176563404343
62,block,4,13,True,True,0.7189031651872516,4.0,two-sided,0.511958437398523,1.0,bonf,0.487,0.33049877903452207
63,block,4,14,True,True,1.8323517548134352,4.0,two-sided,0.14084260539343738,1.0,bonf,1.076,0.8193294382651642
64,block,4,15,True,True,1.4706021510336074,4.0,two-sided,0.21535351953545348,1.0,bonf,0.81,0.8123533457578033
65,block,5,6,True,True,1.4376261278988087,4.0,two-sided,0.22391481039576522,1.0,bonf,0.79,0.32408499884359027
66,block,5,7,True,True,0.5679618342470646,4.0,two-sided,0.6004244795417988,1.0,bonf,0.453,0.2297905134969992
67,block,5,8,True,True,0.49236596391733045,4.0,two-sided,0.6482612949673073,1.0,bonf,0.439,0.1021883348295394
68,block,5,9,True,True,0.43994134506405946,4.0,two-sided,0.68270602504099,1.0,bonf,0.43,0.1425652448652612
69,block,5,10,True,True,2.0828140556682313,4.0,two-sided,0.10568593763511323,1.0,bonf,1.31,0.5729124608545481
70,block,5,11,True,True,2.8138600212480505,4.0,two-sided,0.048127569740740825,1.0,bonf,2.28,0.7800265864785897
71,block,5,12,True,True,2.892676744841424,4.0,two-sided,0.04444329593569918,1.0,bonf,2.413,0.8634416513711168
72,block,5,13,True,True,1.1936513097007824,4.0,two-sided,0.2985666204813454,1.0,bonf,0.659,0.558473293486071
73,block,5,14,True,True,3.1840117830313943,4.0,two-sided,0.03340680521642802,1.0,bonf,2.959,1.1849054450387155
74,block,5,15,True,True,2.090650624567984,4.0,two-sided,0.10475366259410342,1.0,bonf,1.318,1.0247644479415392
75,block,6,7,True,True,-0.29869876191351724,4.0,two-sided,0.7800447716309333,1.0,bonf,0.412,-0.10470491030694931
