temp,perceptual_temp,rl_temp,ff1,ff2,ffp1,ffp2,trial,model,agent,s,a,r,optimal_option,optimal_ev,optimal_ff,params,destroy,cumulative_reward
,10.0,1.0,-0.1,-0.6,0.45016600268752216,0.23147521650098238,32,value neglect,2,1,0,0.0,True,True,True,"{'β': 2.825857677949126, '$\\delta$': -50.53360689493113}",False,894.4693751737223
,10.0,1.0,-0.3,-0.6,0.35434369377420455,0.23147521650098238,33,value neglect,2,1,0,96.59072275476231,True,True,True,"{'β': 2.6954976563233237, '$\\delta$': 76.24679567353895}",True,991.0600979284845
,10.0,1.0,1.0,-0.8,0.8807970779778823,0.16798161486607552,34,value neglect,2,1,0,48.79817424693381,True,True,True,"{'β': 2.736035266203848, '$\\delta$': 88.58612040038872}",True,1039.8582721754183
,10.0,1.0,-0.8,-0.3,0.16798161486607552,0.35434369377420455,35,value neglect,2,1,1,0.0,False,False,True,"{'β': 2.7888153795632036, '$\\delta$': 88.58612040038872}",False,1039.8582721754183
,10.0,1.0,0.8,0.1,0.8320183851339245,0.549833997312478,36,value neglect,2,1,0,81.23428651418314,True,True,True,"{'β': 2.835541755350504, '$\\delta$': 94.11734975280866}",True,1121.0925586896014
,10.0,1.0,0.3,-0.1,0.6456563062257954,0.45016600268752216,37,value neglect,2,1,0,90.53996875107201,True,True,True,"{'β': 2.8874157843738066, '$\\delta$': 96.10198984500856}",True,1211.6325274406734
,10.0,1.0,0.8,-0.3,0.8320183851339245,0.35434369377420455,38,value neglect,2,1,0,71.56367900376807,True,True,True,"{'β': 2.9312213239172475, '$\\delta$': 96.86595411610561}",True,1283.1962064444415
,10.0,1.0,0.3,0.8,0.6456563062257954,0.8320183851339245,39,value neglect,2,1,0,76.79819292295343,True,True,False,"{'β': 2.9822434004678358, '$\\delta$': 97.37265682564369}",True,1359.9943993673949
,10.0,1.0,0.6,0.1,0.7685247834990175,0.549833997312478,40,value neglect,2,1,0,78.79918207725134,True,True,True,"{'β': 3.032734933833802, '$\\delta$': 97.71745314805882}",True,1438.7935814446462
,10.0,1.0,-0.8,-1.0,0.16798161486607552,0.11920292202211755,41,value neglect,2,1,0,0.0,True,True,True,"{'β': 3.0724074809830206, '$\\delta$': 97.71745314805882}",False,1438.7935814446462
,10.0,1.0,-0.6,-0.1,0.23147521650098238,0.45016600268752216,42,value neglect,2,1,1,22.55653782025732,False,False,True,"{'β': 3.0383639396077173, '$\\delta$': 97.63291684739966}",True,1461.3501192649035
,10.0,1.0,-1.0,0.1,0.11920292202211755,0.549833997312478,43,value neglect,2,1,1,0.0,False,True,True,"{'β': 3.004957944055717, '$\\delta$': 97.63291684739966}",False,1461.3501192649035
,10.0,1.0,0.8,0.1,0.8320183851339245,0.549833997312478,44,value neglect,2,1,0,34.399403502328056,True,True,True,"{'β': 3.043626572395283, '$\\delta$': 97.75946040777801}",True,1495.7495227672316
,10.0,1.0,1.0,-0.3,0.8807970779778823,0.35434369377420455,45,value neglect,2,1,0,61.80208470942736,True,True,True,"{'β': 3.0717165694504214, '$\\delta$': 97.94674039839606}",True,1557.551607476659
,10.0,1.0,1.0,-0.1,0.8807970779778823,0.45016600268752216,46,value neglect,2,1,0,64.74326632084232,True,True,True,"{'β': 3.098717856622686, '$\\delta$': 98.10070201209265}",True,1622.2948737975014
,10.0,1.0,-0.3,0.8,0.35434369377420455,0.8320183851339245,47,value neglect,2,1,1,13.294607666350782,False,False,True,"{'β': 3.133700415061334, '$\\delta$': 98.07282304713247}",True,1635.5894814638523
,10.0,1.0,1.0,-0.6,0.8807970779778823,0.23147521650098238,48,value neglect,2,1,0,0.0,True,True,True,"{'β': 2.676395515362408, '$\\delta$': 98.07282304713247}",False,1635.5894814638523
,10.0,1.0,0.3,0.8,0.6456563062257954,0.8320183851339245,49,value neglect,2,1,0,0.0,True,True,False,"{'β': 2.5898816720694158, '$\\delta$': 98.07282304713247}",False,1635.5894814638523
,1.0,10.0,-0.1,-0.6,0.45016600268752216,0.23147521650098238,0,perceptual neglect,3,0,0,36.16215668362631,True,True,True,"{'β': -0.1980361977543654, '$\\delta$': 54.913255626099414}",True,36.16215668362631
,1.0,10.0,0.1,0.8,0.549833997312478,0.8320183851339245,1,perceptual neglect,3,0,0,77.71255416995204,True,True,False,"{'β': -1.180806063842614e-08, '$\\delta$': 88.59056724326825}",True,113.87471085357835
,1.0,10.0,-1.0,-0.8,0.11920292202211755,0.16798161486607552,2,perceptual neglect,3,0,0,0.0,True,True,False,"{'β': 1.194843240664996, '$\\delta$': 88.59056724326825}",False,113.87471085357835
,1.0,10.0,0.6,0.6,0.7685247834990175,0.7685247834990175,3,perceptual neglect,3,0,0,93.9046765798247,True,True,True,"{'β': 1.6359198913638422, '$\\delta$': 94.52576551127923}",True,207.77938743340303
,1.0,10.0,0.6,-1.0,0.7685247834990175,0.11920292202211755,4,perceptual neglect,3,0,0,71.40061353586802,True,True,True,"{'β': 1.9771696585613887, '$\\delta$': 96.01001272178357}",True,279.1800009692711
,1.0,10.0,-1.0,1.0,0.11920292202211755,0.8807970779778823,5,perceptual neglect,3,0,0,0.0,True,False,False,"{'β': 2.2603923810032684, '$\\delta$': 96.01001272178357}",False,279.1800009692711
,1.0,10.0,-1.0,-0.3,0.11920292202211755,0.35434369377420455,6,perceptual neglect,3,0,0,0.0,True,False,False,"{'β': 2.460824289201882, '$\\delta$': 96.01001272178357}",False,279.1800009692711
,1.0,10.0,0.3,0.6,0.6456563062257954,0.7685247834990175,7,perceptual neglect,3,0,0,0.0,True,True,False,"{'β': 2.145139633223243, '$\\delta$': 96.01001272178357}",False,279.1800009692711
,1.0,10.0,1.0,0.6,0.8807970779778823,0.7685247834990175,8,perceptual neglect,3,0,0,50.46909016228403,True,True,True,"{'β': 2.315200506064748, '$\\delta$': 96.61545716571675}",True,329.6490911315551
,1.0,10.0,0.8,1.0,0.8320183851339245,0.8807970779778823,9,perceptual neglect,3,0,0,38.91917974024233,True,True,False,"{'β': 2.465243681132658, '$\\delta$': 96.95306964342528}",True,368.56827087179744
,1.0,10.0,0.3,-0.8,0.6456563062257954,0.16798161486607552,10,perceptual neglect,3,0,0,0.0,True,True,True,"{'β': 2.2125000883408146, '$\\delta$': 96.95306964342528}",False,368.56827087179744
,1.0,10.0,0.6,-0.3,0.7685247834990175,0.35434369377420455,11,perceptual neglect,3,0,0,77.48171981158751,True,True,True,"{'β': 2.3536088768781975, '$\\delta$': 97.43230091251645}",True,446.049990683385
,1.0,10.0,-0.1,-0.1,0.45016600268752216,0.45016600268752216,12,perceptual neglect,3,0,0,0.0,True,True,True,"{'β': 2.4044377002799675, '$\\delta$': 97.43230091251645}",False,446.049990683385
,1.0,10.0,-0.6,0.1,0.23147521650098238,0.549833997312478,13,perceptual neglect,3,0,0,0.0,True,False,False,"{'β': 2.5344831763155597, '$\\delta$': 97.43230091251645}",False,446.049990683385
,1.0,10.0,-0.8,1.0,0.16798161486607552,0.8807970779778823,14,perceptual neglect,3,0,0,0.0,True,False,False,"{'β': 2.645456977383182, '$\\delta$': 97.43230091251645}",False,446.049990683385
,1.0,10.0,-0.6,1.0,0.23147521650098238,0.8807970779778823,15,perceptual neglect,3,0,0,44.17887169117107,True,False,False,"{'β': 2.160248565078015, '$\\delta$': 97.62886578353036}",True,490.22886237455606
,1.0,10.0,-0.3,0.1,0.35434369377420455,0.549833997312478,16,perceptual neglect,3,0,0,0.0,True,True,False,"{'β': 2.2495782551991574, '$\\delta$': 97.62886578353036}",False,490.22886237455606
,1.0,10.0,0.8,0.8,0.8320183851339245,0.8320183851339245,17,perceptual neglect,3,0,0,95.35551015965231,True,True,True,"{'β': 2.3522412319053876, '$\\delta$': 97.94314950200985}",True,585.5843725342083
,1.0,10.0,0.8,0.8,0.8320183851339245,0.8320183851339245,18,perceptual neglect,3,0,0,32.72633081726214,True,True,True,"{'β': 2.445902897014448, '$\\delta$': 98.02529166033233}",True,618.3107033514705
,1.0,10.0,1.0,-0.8,0.8807970779778823,0.16798161486607552,19,perceptual neglect,3,0,0,72.35654109278668,True,True,True,"{'β': 2.5208565238243335, '$\\delta$': 98.17754029546181}",True,690.6672444442571
,1.0,10.0,-0.8,0.6,0.16798161486607552,0.7685247834990175,20,perceptual neglect,3,0,0,0.0,True,False,False,"{'β': 2.6001140255072728, '$\\delta$': 98.17754029546181}",False,690.6672444442571
,1.0,10.0,0.8,-0.3,0.8320183851339245,0.35434369377420455,21,perceptual neglect,3,0,0,52.70909502374707,True,True,True,"{'β': 2.673934674960755, '$\\delta$': 98.26738463913809}",True,743.3763394680042
,1.0,10.0,-0.1,-0.8,0.45016600268752216,0.16798161486607552,22,perceptual neglect,3,0,0,79.91225536885446,True,True,True,"{'β': 2.628359887471069, '$\\delta$': 98.37940129048842}",True,823.2885948368587
,1.0,10.0,0.3,0.3,0.6456563062257954,0.6456563062257954,23,perceptual neglect,3,0,0,0.0,True,True,True,"{'β': 2.4714758411814857, '$\\delta$': 98.37940129048842}",False,823.2885948368587
,1.0,10.0,1.0,-0.6,0.8807970779778823,0.23147521650098238,24,perceptual neglect,3,0,0,39.23398626218369,True,True,True,"{'β': 2.532250731556471, '$\\delta$': 98.4255068702042}",True,862.5225810990423
,1.0,10.0,0.6,-0.1,0.7685247834990175,0.45016600268752216,25,perceptual neglect,3,1,0,54.199551575341545,True,True,True,"{'β': 2.6064486225417705, '$\\delta$': 70.27922782800391}",True,916.7221326743838
,1.0,10.0,-0.3,-0.6,0.35434369377420455,0.23147521650098238,26,perceptual neglect,3,1,0,0.0,True,True,True,"{'β': 2.6716443273793042, '$\\delta$': 70.27922782800391}",False,916.7221326743838
,1.0,10.0,0.1,-1.0,0.549833997312478,0.11920292202211755,27,perceptual neglect,3,1,0,0.0,True,True,True,"{'β': 2.631053756609552, '$\\delta$': 70.27922782800391}",False,916.7221326743838
,1.0,10.0,-1.0,-0.8,0.11920292202211755,0.16798161486607552,28,perceptual neglect,3,1,0,0.0,True,True,False,"{'β': 2.6823510916946995, '$\\delta$': 70.27922782800391}",False,916.7221326743838
,1.0,10.0,0.1,-1.0,0.549833997312478,0.11920292202211755,29,perceptual neglect,3,1,0,0.0,True,True,True,"{'β': 2.6433208345891774, '$\\delta$': 70.27922782800391}",False,916.7221326743838
,1.0,10.0,0.1,0.3,0.549833997312478,0.6456563062257954,30,perceptual neglect,3,1,0,65.46476236899056,True,True,False,"{'β': 2.6726599004987373, '$\\delta$': 89.3077327680223}",True,982.1868950433744
,1.0,10.0,-0.3,-0.6,0.35434369377420455,0.23147521650098238,31,perceptual neglect,3,1,0,0.0,True,True,True,"{'β': 2.7349470775623637, '$\\delta$': 89.3077327680223}",False,982.1868950433744
